Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Source of gene name
1	209756032	209782320	TRAF3IP3	HGNC Symbol
1	209756032	209782320	TRAF3IP3	HGNC Symbol
1	209756032	209782320	TRAF3IP3	HGNC Symbol
1	176463171	176845601	PAPPA2	HGNC Symbol
1	176463171	176845601	PAPPA2	HGNC Symbol
1	209779208	209784559	C1orf74	HGNC Symbol
1	17539698	17697874	ARHGEF10L	HGNC Symbol
1	17539698	17697874	ARHGEF10L	HGNC Symbol
1	152084141	152089064	TCHHL1	HGNC Symbol
1	146146203	146229026	NOTCH2NLA	HGNC Symbol
1	152106317	152115454	TCHH	HGNC Symbol
1	152106317	152115454	TCHH	HGNC Symbol
1	146064699	146229000	NBPF10	HGNC Symbol
1	176857302	177164973	ASTN1	HGNC Symbol
1	176857302	177164973	ASTN1	HGNC Symbol
1	176857302	177164973	ASTN1	HGNC Symbol
1	152409243	152414263	CRNN	HGNC Symbol
1	230314490	230426332	PGBD5	HGNC Symbol
1	152212076	152224193	HRNR	HGNC Symbol
1	152348735	152360006	FLG2	HGNC Symbol
1	152302175	152325203	FLG	HGNC Symbol
1	236664141	236764631	ACTN2	HGNC Symbol
1	236664141	236764631	ACTN2	HGNC Symbol
1	236664141	236764631	ACTN2	HGNC Symbol
1	152153595	152159228	RPTN	HGNC Symbol
1	181088712	181092899	IER5	HGNC Symbol
1	201888680	201892306	SHISA4	HGNC Symbol
1	201896456	201946588	LMOD1	HGNC Symbol
1	201955503	201970664	TIMM17A	HGNC Symbol
1	230642481	230693982	COG2	HGNC Symbol
1	230642481	230693982	COG2	HGNC Symbol
1	152510803	152512177	LCE5A	HGNC Symbol
1	152514482	152516008	CRCT1	HGNC Symbol
1	152565654	152566772	LCE3E	HGNC Symbol
1	152579381	152580516	LCE3D	HGNC Symbol
1	152600662	152601086	LCE3C	HGNC Symbol
1	99850361	99924023	AGL	HGNC Symbol
1	99850361	99924023	AGL	HGNC Symbol
1	99850361	99924023	AGL	HGNC Symbol
1	99850361	99924023	AGL	HGNC Symbol
1	99850361	99924023	AGL	HGNC Symbol
1	230747384	230802003	CAPN9	HGNC Symbol
1	230747384	230802003	CAPN9	HGNC Symbol
1	230747384	230802003	CAPN9	HGNC Symbol
1	177170958	177282422	BRINP2	HGNC Symbol
1	230702523	230714122	AGT	HGNC Symbol
1	17755333	17827063	ACTL8	HGNC Symbol
1	17755333	17827063	ACTL8	HGNC Symbol
1	152613811	152614098	LCE3B	HGNC Symbol
1	152622834	152623103	LCE3A	HGNC Symbol
1	230837119	230869589	C1orf198	HGNC Symbol
1	230837119	230869589	C1orf198	HGNC Symbol
1	230837119	230869589	C1orf198	HGNC Symbol
1	109548615	109618324	GNAI3	HGNC Symbol
1	18107798	18378483	IGSF21	HGNC Symbol
1	167430640	167518610	CD247	HGNC Symbol
1	167430640	167518610	CD247	HGNC Symbol
1	109616104	109632053	AMPD2	HGNC Symbol
1	109616104	109632053	AMPD2	HGNC Symbol
1	109616104	109632053	AMPD2	HGNC Symbol
1	109616104	109632053	AMPD2	HGNC Symbol
1	109616104	109632053	AMPD2	HGNC Symbol
1	152663396	152664659	LCE2D	HGNC Symbol
1	152675295	152676574	LCE2C	HGNC Symbol
1	152686123	152687401	LCE2B	HGNC Symbol
1	152698345	152699442	LCE2A	HGNC Symbol
1	152708160	152709491	LCE4A	HGNC Symbol
1	152708160	152709491	LCE4A	HGNC Symbol
1	152719522	152720470	C1orf68	HGNC Symbol
1	152759561	152762052	KPRP	HGNC Symbol
1	152776372	152776728	LCE1F	HGNC Symbol
1	209785617	209806175	IRF6	HGNC Symbol
1	209785617	209806175	IRF6	HGNC Symbol
1	152786214	152788426	LCE1E	HGNC Symbol
1	152786214	152788426	LCE1E	HGNC Symbol
1	209827972	209857565	UTP25	HGNC Symbol
1	202007945	202017183	ELF3	HGNC Symbol
1	202007945	202017183	ELF3	HGNC Symbol
1	202007945	202017183	ELF3	HGNC Symbol
1	152796751	152798181	LCE1D	HGNC Symbol
1	152804835	152806628	LCE1C	HGNC Symbol
1	152811971	152813109	LCE1B	HGNC Symbol
1	152827473	152827894	LCE1A	HGNC Symbol
1	152842868	152843983	LCE6A	HGNC Symbol
1	152878322	152885047	SMCP	HGNC Symbol
1	201982372	202006147	RNPEP	HGNC Symbol
1	109603267	109619929	GNAT2	HGNC Symbol
1	18480982	18486126	KLHDC7A	HGNC Symbol
1	230906243	230978875	TTC13	HGNC Symbol
1	230906243	230978875	TTC13	HGNC Symbol
1	18630846	18748866	PAX7	HGNC Symbol
1	18630846	18748866	PAX7	HGNC Symbol
1	18630846	18748866	PAX7	HGNC Symbol
1	209900923	210171389	SYT14	HGNC Symbol
1	209900923	210171389	SYT14	HGNC Symbol
1	209900923	210171389	SYT14	HGNC Symbol
1	209900923	210171389	SYT14	HGNC Symbol
1	209900923	210171389	SYT14	HGNC Symbol
1	230978981	231000733	ARV1	HGNC Symbol
1	231018958	231040254	FAM89A	HGNC Symbol
1	236795292	236921278	MTR	HGNC Symbol
1	236795292	236921278	MTR	HGNC Symbol
1	217426992	217631090	GPATCH2	HGNC Symbol
1	217426992	217631090	GPATCH2	HGNC Symbol
1	231184098	231187627	AL109810.2	Clone-based (Ensembl) gene
1	231162112	231221556	TRIM67	HGNC Symbol
1	231162112	231221556	TRIM67	HGNC Symbol
1	152908546	152911886	IVL	HGNC Symbol
1	152970648	152972574	SPRR4	HGNC Symbol
1	152985231	152985500	SPRR1A	HGNC Symbol
1	167529117	167553805	CREG1	HGNC Symbol
1	153001747	153003856	SPRR3	HGNC Symbol
1	153001747	153003856	SPRR3	HGNC Symbol
1	167630093	167708696	RCSD1	HGNC Symbol
1	167630093	167708696	RCSD1	HGNC Symbol
1	217631324	217871696	SPATA17	HGNC Symbol
1	153031203	153032900	SPRR1B	HGNC Symbol
1	153039732	153041931	SPRR2D	HGNC Symbol
1	153039732	153041931	SPRR2D	HGNC Symbol
1	153039732	153041931	SPRR2D	HGNC Symbol
1	153039732	153041931	SPRR2D	HGNC Symbol
1	18839599	18859682	TAS1R2	HGNC Symbol
1	153056120	153057512	SPRR2A	HGNC Symbol
1	153112121	153113516	SPRR2F	HGNC Symbol
1	153070224	153070840	SPRR2B	HGNC Symbol
1	153093135	153106184	SPRR2E	HGNC Symbol
1	153093135	153106184	SPRR2E	HGNC Symbol
1	231241207	231277973	GNPAT	HGNC Symbol
1	153149582	153150890	SPRR2G	HGNC Symbol
1	153203430	153205120	LELP1	HGNC Symbol
1	231223763	231241187	C1orf131	HGNC Symbol
1	231223763	231241187	C1orf131	HGNC Symbol
1	161623196	161631963	FCGR3B	HGNC Symbol
1	161623196	161631963	FCGR3B	HGNC Symbol
1	161623196	161631963	FCGR3B	HGNC Symbol
1	161623196	161631963	FCGR3B	HGNC Symbol
1	161623196	161631963	FCGR3B	HGNC Symbol
1	153217584	153219310	PRR9	HGNC Symbol
1	153259687	153262124	LOR	HGNC Symbol
1	153297862	153310718	PGLYRP3	HGNC Symbol
1	218285293	218337983	RRP15	HGNC Symbol
1	218345336	218444619	TGFB2	HGNC Symbol
1	218345336	218444619	TGFB2	HGNC Symbol
1	181317690	181808084	CACNA1E	HGNC Symbol
1	181317690	181808084	CACNA1E	HGNC Symbol
1	181317690	181808084	CACNA1E	HGNC Symbol
1	161663147	161678654	FCGR2B	HGNC Symbol
1	161663147	161678654	FCGR2B	HGNC Symbol
1	161663147	161678654	FCGR2B	HGNC Symbol
1	167721192	167791919	MPZL1	HGNC Symbol
1	167721192	167791919	MPZL1	HGNC Symbol
1	167721192	167791919	MPZL1	HGNC Symbol
1	231337104	231355023	SPRTN	HGNC Symbol
1	231337104	231355023	SPRTN	HGNC Symbol
1	231337104	231355023	SPRTN	HGNC Symbol
1	231332753	231337852	EXOC8	HGNC Symbol
1	177923956	177984303	SEC16B	HGNC Symbol
1	177923956	177984303	SEC16B	HGNC Symbol
1	146938744	146996202	NBPF12	HGNC Symbol
1	146938744	146996202	NBPF12	HGNC Symbol
1	219173869	219212865	LYPLAL1	HGNC Symbol
1	219173869	219212865	LYPLAL1	HGNC Symbol
1	202133404	202144743	ARL8A	HGNC Symbol
1	202133404	202144743	ARL8A	HGNC Symbol
1	161706972	161714352	FCRLA	HGNC Symbol
1	161706972	161714352	FCRLA	HGNC Symbol
1	161706972	161714352	FCRLA	HGNC Symbol
1	161706972	161714352	FCRLA	HGNC Symbol
1	161706972	161714352	FCRLA	HGNC Symbol
1	161706972	161714352	FCRLA	HGNC Symbol
1	161706972	161714352	FCRLA	HGNC Symbol
1	202122917	202133592	GPR37L1	HGNC Symbol
1	153330120	153348841	PGLYRP4	HGNC Symbol
1	161721563	161728143	FCRLB	HGNC Symbol
1	161721563	161728143	FCRLB	HGNC Symbol
1	161721563	161728143	FCRLB	HGNC Symbol
1	161721563	161728143	FCRLB	HGNC Symbol
1	161721563	161728143	FCRLB	HGNC Symbol
1	237004103	237004418	MT1HL1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	231626815	232041272	DISC1	HGNC Symbol
1	100038095	100083377	MFSD14A	HGNC Symbol
1	99969351	100035634	SLC35A3	HGNC Symbol
1	99969351	100035634	SLC35A3	HGNC Symbol
1	99969351	100035634	SLC35A3	HGNC Symbol
1	99969351	100035634	SLC35A3	HGNC Symbol
1	99969351	100035634	SLC35A3	HGNC Symbol
1	100083563	100132955	SASS6	HGNC Symbol
1	202147013	202161588	PTPN7	HGNC Symbol
1	202147013	202161588	PTPN7	HGNC Symbol
1	182054570	182061712	ZNF648	HGNC Symbol
1	231363751	231422287	EGLN1	HGNC Symbol
1	231528541	231566524	TSNAX	HGNC Symbol
1	153357854	153361023	S100A9	HGNC Symbol
1	169921326	170085208	KIFAP3	HGNC Symbol
1	169921326	170085208	KIFAP3	HGNC Symbol
1	169921326	170085208	KIFAP3	HGNC Symbol
1	169921326	170085208	KIFAP3	HGNC Symbol
1	153373711	153375621	S100A12	HGNC Symbol
1	153390032	153391073	S100A8	HGNC Symbol
1	153390032	153391073	S100A8	HGNC Symbol
1	167809388	167914215	ADCY10	HGNC Symbol
1	167809388	167914215	ADCY10	HGNC Symbol
1	167809388	167914215	ADCY10	HGNC Symbol
1	219608010	219613145	ZC3H11B	HGNC Symbol
1	153416520	153423222	S100A7A	HGNC Symbol
1	153416520	153423222	S100A7A	HGNC Symbol
1	153416520	153423222	S100A7A	HGNC Symbol
1	219685427	219958647	SLC30A10	HGNC Symbol
1	153457744	153460651	S100A7	HGNC Symbol
1	153457744	153460651	S100A7	HGNC Symbol
1	210232796	210246631	SERTAD4	HGNC Symbol
1	153534599	153536244	S100A6	HGNC Symbol
1	153534599	153536244	S100A6	HGNC Symbol
1	153534599	153536244	S100A6	HGNC Symbol
1	210328252	210676296	HHAT	HGNC Symbol
1	210328252	210676296	HHAT	HGNC Symbol
1	210328252	210676296	HHAT	HGNC Symbol
1	210328252	210676296	HHAT	HGNC Symbol
1	210328252	210676296	HHAT	HGNC Symbol
1	210328252	210676296	HHAT	HGNC Symbol
1	182381704	182392206	GLUL	HGNC Symbol
1	182381704	182392206	GLUL	HGNC Symbol
1	182381704	182392206	GLUL	HGNC Symbol
1	182381704	182392206	GLUL	HGNC Symbol
1	161749758	161757238	DUSP12	HGNC Symbol
1	178094141	178484147	RASAL2	HGNC Symbol
1	178094141	178484147	RASAL2	HGNC Symbol
1	161766320	161964070	ATF6	HGNC Symbol
1	219968600	220046530	EPRS	HGNC Symbol
1	167935783	168075843	DCAF6	HGNC Symbol
1	167935783	168075843	DCAF6	HGNC Symbol
1	167935783	168075843	DCAF6	HGNC Symbol
1	167935783	168075843	DCAF6	HGNC Symbol
1	170146001	170167790	METTL11B	HGNC Symbol
1	27970344	28088637	EYA3	HGNC Symbol
1	27970344	28088637	EYA3	HGNC Symbol
1	27970344	28088637	EYA3	HGNC Symbol
1	27970344	28088637	EYA3	HGNC Symbol
1	167916675	167937072	MPC2	HGNC Symbol
1	167916675	167937072	MPC2	HGNC Symbol
1	182398117	182400616	TEDDM1	HGNC Symbol
1	182409192	182560599	RGSL1	HGNC Symbol
1	202193901	202319781	LGR6	HGNC Symbol
1	202193901	202319781	LGR6	HGNC Symbol
1	202193901	202319781	LGR6	HGNC Symbol
1	161983192	162023854	OLFML2B	HGNC Symbol
1	161983192	162023854	OLFML2B	HGNC Symbol
1	170532129	170553446	GORAB	HGNC Symbol
1	170532129	170553446	GORAB	HGNC Symbol
1	178513109	178548602	TEX35	HGNC Symbol
1	178513109	178548602	TEX35	HGNC Symbol
1	178513109	178548602	TEX35	HGNC Symbol
1	178725147	178921841	RALGPS2	HGNC Symbol
1	178725147	178921841	RALGPS2	HGNC Symbol
1	210676823	211134165	KCNH1	HGNC Symbol
1	210676823	211134165	KCNH1	HGNC Symbol
1	210676823	211134165	KCNH1	HGNC Symbol
1	210676823	211134165	KCNH1	HGNC Symbol
1	210676823	211134165	KCNH1	HGNC Symbol
1	170662728	170739421	PRRX1	HGNC Symbol
1	170662728	170739421	PRRX1	HGNC Symbol
1	178849535	178871077	ANGPTL1	HGNC Symbol
1	178849535	178871077	ANGPTL1	HGNC Symbol
1	162378841	162386812	C1orf226	HGNC Symbol
1	162378841	162386812	C1orf226	HGNC Symbol
1	162069691	162370475	NOS1AP	HGNC Symbol
1	162069691	162370475	NOS1AP	HGNC Symbol
1	162069691	162370475	NOS1AP	HGNC Symbol
1	162373203	162376870	SPATA46	HGNC Symbol
1	220057482	220090462	BPNT1	HGNC Symbol
1	220057482	220090462	BPNT1	HGNC Symbol
1	220057482	220090462	BPNT1	HGNC Symbol
1	220057482	220090462	BPNT1	HGNC Symbol
1	171090901	171117819	FMO3	HGNC Symbol
1	171248471	171285978	FMO1	HGNC Symbol
1	171248471	171285978	FMO1	HGNC Symbol
1	171248471	171285978	FMO1	HGNC Symbol
1	171248471	171285978	FMO1	HGNC Symbol
1	28147166	28193936	PTAFR	HGNC Symbol
1	28147166	28193936	PTAFR	HGNC Symbol
1	28147166	28193936	PTAFR	HGNC Symbol
1	170935471	171064765	MROH9	HGNC Symbol
1	170935471	171064765	MROH9	HGNC Symbol
1	171185249	171212686	FMO2	HGNC Symbol
1	162395268	162412138	SH2D1B	HGNC Symbol
1	28199456	28233029	DNAJC8	HGNC Symbol
1	162497251	162529631	UHMK1	HGNC Symbol
1	162497251	162529631	UHMK1	HGNC Symbol
1	162497251	162529631	UHMK1	HGNC Symbol
1	28236109	28246906	ATP5IF1	HGNC Symbol
1	28236109	28246906	ATP5IF1	HGNC Symbol
1	28236109	28246906	ATP5IF1	HGNC Symbol
1	179025804	179076567	FAM20B	HGNC Symbol
1	28259518	28282491	SESN2	HGNC Symbol
1	162561506	162599842	UAP1	HGNC Symbol
1	162561506	162599842	UAP1	HGNC Symbol
1	162561506	162599842	UAP1	HGNC Symbol
1	162561506	162599842	UAP1	HGNC Symbol
1	28329002	28335965	MED18	HGNC Symbol
1	28329002	28335965	MED18	HGNC Symbol
1	202331657	202341980	UBE2T	HGNC Symbol
1	211258377	211316385	RCOR3	HGNC Symbol
1	211258377	211316385	RCOR3	HGNC Symbol
1	211258377	211316385	RCOR3	HGNC Symbol
1	211258377	211316385	RCOR3	HGNC Symbol
1	211326615	211374946	TRAF5	HGNC Symbol
1	211326615	211374946	TRAF5	HGNC Symbol
1	211326615	211374946	TRAF5	HGNC Symbol
1	220094132	220148041	IARS2	HGNC Symbol
1	35573314	35595328	TFAP2E	HGNC Symbol
1	35599541	35641526	PSMB2	HGNC Symbol
1	35599541	35641526	PSMB2	HGNC Symbol
1	35713877	35718894	C1orf216	HGNC Symbol
1	211476522	211492917	RD3	HGNC Symbol
1	211571568	211579161	SLC30A1	HGNC Symbol
1	220148293	220272453	RAB3GAP2	HGNC Symbol
1	28369582	28500364	PHACTR4	HGNC Symbol
1	28369582	28500364	PHACTR4	HGNC Symbol
1	179082070	179098023	TOR3A	HGNC Symbol
1	211658657	211675630	NEK2	HGNC Symbol
1	211658657	211675630	NEK2	HGNC Symbol
1	211658657	211675630	NEK2	HGNC Symbol
1	182573634	182589256	RNASEL	HGNC Symbol
1	220528183	220664461	MARK1	HGNC Symbol
1	220528183	220664461	MARK1	HGNC Symbol
1	220528183	220664461	MARK1	HGNC Symbol
1	220528183	220664461	MARK1	HGNC Symbol
1	35720218	35769978	CLSPN	HGNC Symbol
1	35720218	35769978	CLSPN	HGNC Symbol
1	35720218	35769978	CLSPN	HGNC Symbol
1	28505943	28539300	RCC1	HGNC Symbol
1	28505943	28539300	RCC1	HGNC Symbol
1	28505943	28539300	RCC1	HGNC Symbol
1	28505943	28539300	RCC1	HGNC Symbol
1	28505943	28539300	RCC1	HGNC Symbol
1	220690363	220699153	C1orf115	HGNC Symbol
1	211743457	211830763	LPGAT1	HGNC Symbol
1	211743457	211830763	LPGAT1	HGNC Symbol
1	220748225	220784815	MARC2	HGNC Symbol
1	220748225	220784815	MARC2	HGNC Symbol
1	220786913	220819659	MARC1	HGNC Symbol
1	220879431	220885059	HLX	HGNC Symbol
1	182598623	182604389	RGS16	HGNC Symbol
1	171314183	171342084	FMO4	HGNC Symbol
1	182641816	182684576	RGS8	HGNC Symbol
1	182641816	182684576	RGS8	HGNC Symbol
1	182641816	182684576	RGS8	HGNC Symbol
1	182641816	182684576	RGS8	HGNC Symbol
1	179099330	179229684	ABL2	HGNC Symbol
1	179099330	179229684	ABL2	HGNC Symbol
1	179099330	179229684	ABL2	HGNC Symbol
1	179099330	179229684	ABL2	HGNC Symbol
1	179099330	179229684	ABL2	HGNC Symbol
1	179099330	179229684	ABL2	HGNC Symbol
1	179099330	179229684	ABL2	HGNC Symbol
1	179099330	179229684	ABL2	HGNC Symbol
1	182789293	182830384	NPL	HGNC Symbol
1	182789293	182830384	NPL	HGNC Symbol
1	182789293	182830384	NPL	HGNC Symbol
1	182789293	182830384	NPL	HGNC Symbol
1	182789293	182830384	NPL	HGNC Symbol
1	182789293	182830384	NPL	HGNC Symbol
1	212035553	212107400	DTL	HGNC Symbol
1	212035553	212107400	DTL	HGNC Symbol
1	182839347	182887982	DHX9	HGNC Symbol
1	211940399	212035557	INTS7	HGNC Symbol
1	211940399	212035557	INTS7	HGNC Symbol
1	211940399	212035557	INTS7	HGNC Symbol
1	211940399	212035557	INTS7	HGNC Symbol
1	162631373	162787405	DDR2	HGNC Symbol
1	162631373	162787405	DDR2	HGNC Symbol
1	162631373	162787405	DDR2	HGNC Symbol
1	162790702	162812817	HSD17B7	HGNC Symbol
1	162790702	162812817	HSD17B7	HGNC Symbol
1	162824458	162868815	CCDC190	HGNC Symbol
1	162824458	162868815	CCDC190	HGNC Symbol
1	182899865	182953525	SHCBP1L	HGNC Symbol
1	183023420	183145592	LAMC1	HGNC Symbol
1	163068775	163076802	RGS4	HGNC Symbol
1	163068775	163076802	RGS4	HGNC Symbol
1	163068775	163076802	RGS4	HGNC Symbol
1	163068775	163076802	RGS4	HGNC Symbol
1	163068775	163076802	RGS4	HGNC Symbol
1	163111121	163321791	RGS5	HGNC Symbol
1	163111121	163321791	RGS5	HGNC Symbol
1	163111121	163321791	RGS5	HGNC Symbol
1	163111121	163321791	RGS5	HGNC Symbol
1	183186238	183244900	LAMC2	HGNC Symbol
1	183186238	183244900	LAMC2	HGNC Symbol
1	163266576	163355764	NUF2	HGNC Symbol
1	163266576	163355764	NUF2	HGNC Symbol
1	183248237	183418380	NMNAT2	HGNC Symbol
1	183248237	183418380	NMNAT2	HGNC Symbol
1	164555584	164899296	PBX1	HGNC Symbol
1	164555584	164899296	PBX1	HGNC Symbol
1	164555584	164899296	PBX1	HGNC Symbol
1	145992435	145996600	TXNIP	HGNC Symbol
1	145992435	145996600	TXNIP	HGNC Symbol
1	17372196	17401699	PADI6	HGNC Symbol
1	230057990	230282122	GALNT2	HGNC Symbol
1	209686178	209734949	HSD11B1	HGNC Symbol
1	209686178	209734949	HSD11B1	HGNC Symbol
1	209675412	209676390	G0S2	HGNC Symbol
1	236518000	236552981	LGALS8	HGNC Symbol
1	236518000	236552981	LGALS8	HGNC Symbol
1	236518000	236552981	LGALS8	HGNC Symbol
1	236518000	236552981	LGALS8	HGNC Symbol
1	236518000	236552981	LGALS8	HGNC Symbol
1	236518000	236552981	LGALS8	HGNC Symbol
1	236518000	236552981	LGALS8	HGNC Symbol
1	169662007	169854080	C1orf112	HGNC Symbol
1	169662007	169854080	C1orf112	HGNC Symbol
1	169662007	169854080	C1orf112	HGNC Symbol
1	169662007	169854080	C1orf112	HGNC Symbol
1	169662007	169854080	C1orf112	HGNC Symbol
1	169792529	169794963	METTL18	HGNC Symbol
1	169792529	169794963	METTL18	HGNC Symbol
1	236549005	236604516	HEATR1	HGNC Symbol
1	169722640	169764705	SELE	HGNC Symbol
1	169849631	169894267	SCYL3	HGNC Symbol
1	169849631	169894267	SCYL3	HGNC Symbol
1	169849631	169894267	SCYL3	HGNC Symbol
1	169690665	169711702	SELL	HGNC Symbol
1	151870866	151909637	THEM4	HGNC Symbol
1	151847101	151853712	THEM5	HGNC Symbol
1	151837819	151840557	C2CD4D	HGNC Symbol
1	229626247	229660200	URB2	HGNC Symbol
1	209614870	209652425	LAMB3	HGNC Symbol
1	209614870	209652425	LAMB3	HGNC Symbol
1	209614870	209652425	LAMB3	HGNC Symbol
1	229593111	229626047	TAF5L	HGNC Symbol
1	229593111	229626047	TAF5L	HGNC Symbol
1	229593111	229626047	TAF5L	HGNC Symbol
1	151800264	151806154	LINGO4	HGNC Symbol
1	151806071	151831845	RORC	HGNC Symbol
1	151806071	151831845	RORC	HGNC Symbol
1	17308195	17364004	PADI4	HGNC Symbol
1	27959462	27968096	XKR8	HGNC Symbol
1	175944831	176207286	COP1	HGNC Symbol
1	175944831	176207286	COP1	HGNC Symbol
1	27935000	27959157	SMPDL3B	HGNC Symbol
1	27935000	27959157	SMPDL3B	HGNC Symbol
1	62454298	62688368	DOCK7	HGNC Symbol
1	62454298	62688368	DOCK7	HGNC Symbol
1	62454298	62688368	DOCK7	HGNC Symbol
1	62454298	62688368	DOCK7	HGNC Symbol
1	62454298	62688368	DOCK7	HGNC Symbol
1	62454298	62688368	DOCK7	HGNC Symbol
1	15847707	15940456	SPEN	HGNC Symbol
1	16740273	16972964	CROCC	HGNC Symbol
1	158418210	158426237	OR10K2	HGNC Symbol
1	158418210	158426237	OR10K2	HGNC Symbol
1	226870184	226896105	PSEN2	HGNC Symbol
1	226870184	226896105	PSEN2	HGNC Symbol
1	151710433	151729805	RIIAD1	HGNC Symbol
1	31617686	31632518	HCRTR1	HGNC Symbol
1	31617686	31632518	HCRTR1	HGNC Symbol
1	151702404	151716814	CELF3	HGNC Symbol
1	151702404	151716814	CELF3	HGNC Symbol
1	31652263	31704319	COL16A1	HGNC Symbol
1	158461574	158470857	OR10K1	HGNC Symbol
1	158461574	158470857	OR10K1	HGNC Symbol
1	158461574	158470857	OR10K1	HGNC Symbol
1	158461574	158470857	OR10K1	HGNC Symbol
1	158461574	158470857	OR10K1	HGNC Symbol
1	168225938	168253021	SFT2D2	HGNC Symbol
1	27773219	27824443	STX12	HGNC Symbol
1	158472220	158480936	OR10R2	HGNC Symbol
1	1632095	1635263	MMP23B	HGNC Symbol
1	27830782	27851676	PPP1R8	HGNC Symbol
1	27830782	27851676	PPP1R8	HGNC Symbol
1	27830782	27851676	PPP1R8	HGNC Symbol
1	172532349	172611833	SUCO	HGNC Symbol
1	172532349	172611833	SUCO	HGNC Symbol
1	172532349	172611833	SUCO	HGNC Symbol
1	172532349	172611833	SUCO	HGNC Symbol
1	1635227	1659012	CDK11B	HGNC Symbol
1	1635227	1659012	CDK11B	HGNC Symbol
1	1635227	1659012	CDK11B	HGNC Symbol
1	45002540	45011324	HECTD3	HGNC Symbol
1	212791828	212816830	TATDN3	HGNC Symbol
1	212791828	212816830	TATDN3	HGNC Symbol
1	212791828	212816830	TATDN3	HGNC Symbol
1	212791828	212816830	TATDN3	HGNC Symbol
1	212791828	212816830	TATDN3	HGNC Symbol
1	212791828	212816830	TATDN3	HGNC Symbol
1	31629866	31644896	PEF1	HGNC Symbol
1	226897536	226987545	COQ8A	HGNC Symbol
1	226897536	226987545	COQ8A	HGNC Symbol
1	45010950	45015575	UROD	HGNC Symbol
1	168280877	168314426	TBX19	HGNC Symbol
1	108970214	109042113	WDR47	HGNC Symbol
1	108970214	109042113	WDR47	HGNC Symbol
1	108970214	109042113	WDR47	HGNC Symbol
1	205504595	205532793	CDK18	HGNC Symbol
